Gene	Transcript	Chrom	Start	End	Strand	ExonCount
SERINC4	NM_001258031	chr15	44086360	44092418	-	12
HYPK	NM_016400	chr15	44092797	44096625	+	4
MFAP1	NM_005926	chr15	44096690	44116888	-	9
WDR76	NM_024908	chr15	44119200	44160610	+	13
FRMD5	NM_032892	chr15	44162962	44487469	-	14
GOLM2	NM_138423	chr15	44580917	44707956	+	10
CTDSPL2	NM_016396	chr15	44719827	44821236	+	13
EIF3J	NM_003758	chr15	44829345	44855001	+	8
SPG11	NM_025137	chr15	44854894	44955860	-	40
PATL2	NM_001387263	chr15	44957930	45003521	-	18
B2M	NM_004048	chr15	45003715	45010343	+	4
TRIM69	NM_182985	chr15	45028726	45060025	+	7
TERB2	NM_152448	chr15	45248885	45271427	+	7
SORD	NM_003104	chr15	45315393	45369383	+	9
DUOX2	NM_001363711	chr15	45384848	45406370	-	34
DUOXA2	NM_207581	chr15	45406524	45410619	+	6
DUOXA1	NM_001276266	chr15	45409564	45422077	-	9
DUOX1	NM_175940	chr15	45422192	45457772	+	34
SLC28A2	NM_004212	chr15	45544432	45570044	+	18
GATM	NM_001482	chr15	45653322	45670742	-	9
C15orf48	NM_197955	chr15	45722808	45725538	+	5
SLC30A4	NM_013309	chr15	45771804	45814953	-	8
BLOC1S6	NM_012388	chr15	45879577	45901906	+	5
SQOR	NM_021199	chr15	45927227	45983479	+	10
SEMA6D	NM_001358351	chr15	48009702	48066425	+	19
SLC24A5	NM_205850	chr15	48413187	48434869	+	9
MYEF2	NM_016132	chr15	48426829	48470492	-	17
CTXN2	NM_001145668	chr15	48483862	48495955	+	2
SLC12A1	NM_000338	chr15	48498499	48596275	+	27
DUT	NM_001025248	chr15	48623626	48635570	+	7
FBN1	NM_000138	chr15	48700510	48937906	-	66
CEP152	NM_001194998	chr15	49030135	49103266	-	27
SHC4	NM_203349	chr15	49115938	49256116	-	12
EID1	NM_014335	chr15	49170331	49172370	+	1
SECISBP2L	NM_001193489	chr15	49280835	49338643	-	18
COPS2	NM_004236	chr15	49414924	49447796	-	13
GALK2	NM_002044	chr15	49462444	49624079	+	10
FAM227B	NM_152647	chr15	49619167	49913015	-	16
FGF7	NM_002009	chr15	49715439	49780972	+	4
DTWD1	NM_001144955	chr15	49913245	49948429	+	5
ATP8B4	NM_024837	chr15	50150435	50411430	-	28
SLC27A2	NM_003645	chr15	50474393	50528582	+	10
HDC	NM_002112	chr15	50534144	50557923	-	12
GABPB1	NM_016654	chr15	50567586	50647395	-	9
USP8	NM_005154	chr15	50716602	50806618	+	20
USP50	NM_203494	chr15	50792759	50838863	-	7
TRPM7	NM_017672	chr15	50849355	50978994	-	39
SPPL2A	NM_032802	chr15	50994463	51057903	-	15
AP4E1	NM_007347	chr15	51200880	51298092	+	21
TNFAIP8L3	NM_001311175	chr15	51348798	51387103	-	2
CYP19A1	NM_000103	chr15	51500254	51630793	-	10
GLDN	NM_181789	chr15	51633852	51700197	+	10
DMXL2	NM_001378457	chr15	51739988	51914968	-	44
SCG3	NM_013243	chr15	51973700	52013223	+	12
LYSMD2	NM_153374	chr15	52015208	52029852	-	3
TMOD2	NM_014548	chr15	52043794	52108560	+	10
TMOD3	NM_014547	chr15	52121850	52207922	+	10
LEO1	NM_138792	chr15	52230222	52263975	-	12
MAPK6	NM_002748	chr15	52311416	52359572	+	6
BCL2L10	NM_020396	chr15	52401460	52404972	-	2
GNB5	NM_016194	chr15	52407297	52483589	-	13
MYO5C	NM_018728	chr15	52484519	52588001	-	41
MYO5A	NM_001382347	chr15	52599480	52821077	-	42
ARPP19	NM_006628	chr15	52839242	52861227	-	3
ONECUT1	NM_004498	chr15	53047250	53082533	-	2
WDR72	NM_182758	chr15	53805938	54051860	-	20
UNC13C	NM_001080534	chr15	54270638	54920803	+	33
RSL24D1	NM_016304	chr15	55473004	55489139	-	6
RAB27A	NM_183235	chr15	55495164	55582011	-	7
PIGBOS1	NM_001308421	chr15	55609382	55611321	-	2
PIGB	NM_004855	chr15	55611420	55647846	+	12
CCPG1	NM_001204450	chr15	55647437	55700557	-	9
DNAAF4	NM_130810	chr15	55722506	55800432	-	10
PYGO1	NM_001367806	chr15	55831082	55880543	-	3
PRTG	NM_173814	chr15	55903742	56035350	-	20
NEDD4	NM_006154	chr15	56119120	56285810	-	29
RFX7	NM_022841	chr15	56379478	56536077	-	10
MNS1	NM_018365	chr15	56720922	56757335	-	10
ZNF280D	NM_017661	chr15	56922374	57025707	-	22
TCF12	NM_207037	chr15	57210842	57582051	+	21
CGNL1	NM_032866	chr15	57668703	57842915	+	19
MYZAP	NM_001018100	chr15	57884102	57977562	+	13
POLR2M	NM_015532	chr15	57998912	58009755	+	4
ALDH1A2	NM_003888	chr15	58245627	58357909	-	13
AQP9	NM_020980	chr15	58430580	58478110	+	6
LIPC	NM_000236	chr15	58724190	58862043	+	9
ADAM10	NM_001110	chr15	58881008	59041906	-	16
MINDY2	NM_001040450	chr15	59063501	59154099	+	9
SLTM	NM_024755	chr15	59171249	59225878	-	21
RNF111	NM_017610	chr15	59279862	59389618	+	14
CCNB2	NM_004701	chr15	59397345	59417244	+	9
MYO1E	NM_004998	chr15	59424633	59665070	-	28
LDHAL6B	NM_033195	chr15	59499042	59500787	+	1
FAM81A	NM_152450	chr15	59730385	59815754	+	9
GCNT3	NM_004751	chr15	59903982	59914922	+	3
GTF2A2	NM_004492	chr15	59930261	59949714	-	5
BNIP2	NM_004330	chr15	59951345	59981519	-	10
FOXB1	NM_012182	chr15	60296510	60299643	+	2
ANXA2	NM_004039	chr15	60639350	60690185	-	13
ICE2	NM_024611	chr15	60711808	60771341	-	16
RORA	NM_134261	chr15	60780483	61521501	-	11
VPS13C	NM_020821	chr15	62144588	62352646	-	85
C2CD4A	NM_207322	chr15	62359176	62363116	+	2
C2CD4B	NM_001007595	chr15	62455734	62457484	-	2
TLN2	NM_015059	chr15	62939510	63136830	+	56
TPM1	NM_001018005	chr15	63334946	63358377	+	10
LACTB	NM_032857	chr15	63414060	63434260	+	6
RPS27L	NM_015920	chr15	63440448	63449676	-	4
RAB8B	NM_016530	chr15	63481805	63559975	+	8
APH1B	NM_031301	chr15	63569804	63601325	+	6
CA12	NM_001218	chr15	63613577	63674045	-	11
USP3	NM_006537	chr15	63796792	63886832	+	15
FBXL22	NM_001367807	chr15	63889586	63893440	+	2
HERC1	NM_003922	chr15	63900817	64126147	-	78
DAPK2	NM_014326	chr15	64199235	64338684	-	12
CIAO2A	NM_032231	chr15	64364764	64386037	-	5
SNX1	NM_003099	chr15	64388181	64436430	+	15
SNX22	NM_024798	chr15	64443930	64449680	+	7
PPIB	NM_000942	chr15	64448016	64455221	-	5
CSNK1G1	NM_022048	chr15	64457724	64648372	-	12
PCLAF	NM_014736	chr15	64656503	64673640	-	4
TRIP4	NM_016213	chr15	64680035	64747502	+	13
ZNF609	NM_015042	chr15	64752777	64978267	+	10
RBPMS2	NM_194272	chr15	65032090	65067788	-	8
PIF1	NM_001286496	chr15	65107831	65117846	-	13
PLEKHO2	NM_025201	chr15	65134114	65160201	+	6
ANKDD1A	NM_182703	chr15	65204101	65251033	+	15
SPG21	NM_016630	chr15	65255363	65282252	-	9
MTFMT	NM_139242	chr15	65293850	65321977	-	9
SLC51B	NM_178859	chr15	65337725	65345735	+	4
RASL12	NM_016563	chr15	65345675	65360329	-	5
KBTBD13	NM_001101362	chr15	65369084	65372286	+	1
UBAP1L	NM_001163692	chr15	65385098	65407538	-	6
PDCD7	NM_005707	chr15	65409717	65426146	-	5
CLPX	NM_006660	chr15	65440557	65477680	-	14
CILP	NM_003613	chr15	65487098	65503811	-	9
PARP16	NM_001316943	chr15	65550437	65579221	-	6
IGDCC3	NM_004884	chr15	65619465	65670340	-	14
IGDCC4	NM_020962	chr15	65673822	65715285	-	20
DPP8	NM_130434	chr15	65734805	65810027	-	20
HACD3	NM_016395	chr15	65822801	65870687	+	11
SLC24A1	NM_004727	chr15	65914276	65948598	+	10
DENND4A	NM_001320835	chr15	65951461	66084631	-	33
RAB11A	NM_004663	chr15	66161829	66184327	+	5
MEGF11	NM_001385028	chr15	66187637	66546088	-	26
DIS3L	NM_001143688	chr15	66585906	66626236	+	17
TIPIN	NM_017858	chr15	66628529	66649023	-	8
MAP2K1	NM_002755	chr15	66679250	66783882	+	11
SNAPC5	NM_001329615	chr15	66785806	66790100	-	3
RPL4	NM_000968	chr15	66790353	66797193	-	10
ZWILCH	NM_017975	chr15	66797664	66842468	+	19
LCTL	NM_207338	chr15	66839870	66858336	-	14
SMAD6	NM_005585	chr15	66994574	67075187	+	4
SMAD3	NM_005902	chr15	67357940	67487507	+	9
AAGAB	NM_024666	chr15	67493005	67546999	-	10
IQCH	NM_001031715	chr15	67547124	67794142	+	21
C15orf61	NM_001143936	chr15	67813469	67822484	+	2
MAP2K5	NM_145160	chr15	67835041	68099452	+	22
SKOR1	NM_001365915	chr15	68117847	68126920	+	9
PIAS1	NM_016166	chr15	68346653	68486185	+	14
CALML4	NM_033429	chr15	68483043	68497670	-	5
CLN6	NM_017882	chr15	68499330	68522066	-	7
FEM1B	NM_015322	chr15	68570083	68588200	+	2
ITGA11	NM_001004439	chr15	68588870	68724502	-	30
CORO2B	NM_006091	chr15	68871332	69020145	+	12
ANP32A	NM_006305	chr15	69070874	69113234	-	7
SPESP1	NM_145658	chr15	69222864	69239150	+	2
NOX5	NM_024505	chr15	69307034	69355102	+	16
GLCE	NM_015554	chr15	69452974	69564546	+	5
PAQR5	NM_017705	chr15	69591251	69700119	+	9
KIF23	NM_001367805	chr15	69706688	69740764	+	24
RPLP1	NM_001003	chr15	69745157	69748544	+	4
TLE3	NM_001105192	chr15	70340129	70390256	-	20
UACA	NM_018003	chr15	70946893	71055897	-	19
LARP6	NM_018357	chr15	71121469	71146496	-	3
THAP10	NM_020147	chr15	71173681	71184772	-	3
LRRC49	NM_017691	chr15	71185165	71345997	+	16
THSD4	NM_024817	chr15	71433788	72075722	+	17
NR2E3	NM_014249	chr15	72102894	72110594	+	9
MYO9A	NM_006901	chr15	72114632	72410491	-	42
SENP8	NM_145204	chr15	72410744	72436033	+	2
GRAMD2A	NM_001012642	chr15	72452147	72490128	-	12
PKM	NM_002654	chr15	72491370	72523531	-	11
PARP6	NM_001323532	chr15	72533522	72564895	-	24
CELF6	NM_052840	chr15	72577068	72612498	-	13
HEXA	NM_000520	chr15	72633265	72668355	-	14
TMEM202	NM_001080462	chr15	72690646	72700708	+	5
ARIH1	NM_005744	chr15	72766671	72895328	+	14
GOLGA6B	NM_018652	chr15	72947038	72959738	+	18
HIGD2B	NM_001350932	chr15	72968139	72978523	-	3
BBS4	NM_033028	chr15	72978548	73030814	+	16
ADPGK	NM_001365225	chr15	73043635	73076099	-	7
NEO1	NM_002499	chr15	73344804	73597546	+	29
HCN4	NM_005477	chr15	73612200	73661299	-	8
REC114	NM_001042367	chr15	73735505	73852354	+	6
NPTN	NM_012428	chr15	73852355	73925730	-	9
CD276	NM_001024736	chr15	73976724	74006855	+	10
INSYN1	NM_001039614	chr15	74027799	74045692	-	3
TBC1D21	NM_153356	chr15	74165905	74181555	+	11
LOXL1	NM_005576	chr15	74218803	74244477	+	7
STOML1	NM_004809	chr15	74271267	74284636	-	7
PML	NM_033238	chr15	74287057	74340168	+	9
GOLGA6A	NM_001038640	chr15	74362198	74374891	-	18
ISLR2	NM_020851	chr15	74422927	74429143	+	3
ISLR	NM_005545	chr15	74466051	74469212	+	2
STRA6	NM_022369	chr15	74471807	74495128	-	19
CCDC33	NM_025055	chr15	74528667	74628482	+	19
CYP11A1	NM_000781	chr15	74630103	74659987	-	9
SEMA7A	NM_003612	chr15	74701630	74726299	-	14
UBL7	NM_032907	chr15	74738318	74753501	-	11
ARID3B	NM_006465	chr15	74833561	74890472	+	9
CLK3	NM_001130028	chr15	74908177	74922542	+	13
EDC3	NM_025083	chr15	74922899	74988365	-	7
CYP1A1	NM_001319217	chr15	75011883	75017869	-	7
CYP1A2	NM_000761	chr15	75041186	75048948	+	7
CSK	NM_004383	chr15	75074421	75095538	+	13
LMAN1L	NM_021819	chr15	75105176	75118095	+	14
CPLX3	NM_001030005	chr15	75118968	75124143	+	3
ULK3	NM_001099436	chr15	75128459	75135497	-	16
SCAMP2	NM_005697	chr15	75136071	75165706	-	9
MPI	NM_002435	chr15	75182383	75194560	+	8
FAM219B	NM_020447	chr15	75192333	75199192	-	5
COX5A	NM_004255	chr15	75212132	75230414	-	5
RPP25	NM_017793	chr15	75246759	75249113	-	1
SCAMP5	NM_138967	chr15	75287904	75313836	+	7
PPCDC	NM_021823	chr15	75315931	75343067	+	6
C15orf39	NM_015492	chr15	75494223	75504510	+	3
GOLGA6C	NM_001164404	chr15	75550899	75565796	+	18
GOLGA6D	NM_001145224	chr15	75575176	75588148	+	18
COMMD4	NM_017828	chr15	75628404	75632614	+	8
NEIL1	NM_024608	chr15	75639380	75649456	+	10
MAN2C1	NM_006715	chr15	75648133	75660948	-	26
SIN3A	NM_001145358	chr15	75661720	75744031	-	21
PTPN9	NM_002833	chr15	75755592	75871656	-	13
SNUPN	NM_005701	chr15	75890427	75918066	-	9
IMP3	NM_018285	chr15	75931434	75932565	-	1
SNX33	NM_153271	chr15	75940253	75954642	+	2
CSPG4	NM_001897	chr15	75966663	76005189	-	10
UBE2Q2	NM_173469	chr15	76135788	76193419	+	13
FBXO22	NM_147188	chr15	76196219	76234852	+	7
NRG4	NM_138573	chr15	76233277	76304765	-	6
TMEM266	NM_152335	chr15	76352326	76497304	+	11
ETFA	NM_000126	chr15	76507694	76603810	-	12
ISL2	NM_145805	chr15	76629114	76634816	+	6
SCAPER	NM_020843	chr15	76640245	77197681	-	32
RCN2	NM_002902	chr15	77224090	77246734	+	7
PSTPIP1	NM_003978	chr15	77287467	77329816	+	15
TSPAN3	NM_005724	chr15	77333745	77363451	-	7
PEAK1	NM_001385026	chr15	77400500	77712446	-	10
HMG20A	NM_001304504	chr15	77713230	77777945	+	10
LINGO1	NM_032808	chr15	77905369	77925254	-	2
TBC1D2B	NM_144572	chr15	78287327	78370053	-	13
SH2D7	NM_001101404	chr15	78384903	78396704	+	6
CIB2	NM_006383	chr15	78396948	78423787	-	6
IDH3A	NM_005530	chr15	78441704	78464287	+	11
ACSBG1	NM_015162	chr15	78459810	78526907	-	14
DNAJA4	NM_001130182	chr15	78556904	78574533	+	7
CRABP1	NM_004378	chr15	78632695	78640567	+	4
IREB2	NM_004136	chr15	78730558	78793795	+	22
HYKK	NM_001013619	chr15	78799919	78828987	+	5
PSMA4	NM_002789	chr15	78832786	78844759	+	9
CHRNA5	NM_000745	chr15	78857862	78887611	+	6
CHRNA3	NM_000743	chr15	78887651	78913338	-	6
CHRNB4	NM_000750	chr15	78916453	78933552	-	6
ADAMTS7	NM_014272	chr15	79051548	79103806	-	24
MORF4L1	NM_006791	chr15	79165232	79190481	+	12
CTSH	NM_004390	chr15	79213400	79237388	-	12
RASGRF1	NM_001145648	chr15	79252248	79383122	-	27
ANKRD34C	NM_001146341	chr15	79575064	79590581	+	2
TMED3	NM_007364	chr15	79603454	79615182	+	3
MINAR1	NM_015206	chr15	79724678	79764646	+	4
MTHFS	NM_006441	chr15	80135889	80189356	-	3
BCL2A1	NM_004049	chr15	80253234	80263538	-	2
ZFAND6	NM_019006	chr15	80352018	80430735	+	7
FAH	NM_000137	chr15	80445341	80478691	+	14
CTXND1	NM_001352888	chr15	80487823	80544555	-	3
ARNT2	NM_014862	chr15	80696724	80890274	+	19
ABHD17C	NM_021214	chr15	80987651	81047962	+	3
CEMIP	NM_001293298	chr15	81071711	81244112	+	30
MESD	NM_015154	chr15	81268093	81282160	-	3
TLNRD1	NM_022566	chr15	81293264	81298129	+	1
CFAP161	NM_173528	chr15	81426611	81441520	+	7
IL16	NM_172217	chr15	81489220	81606399	+	19
STARD5	NM_181900	chr15	81601394	81616482	-	6
TMC3	NM_001080532	chr15	81623429	81666554	-	22
MEX3B	NM_032246	chr15	82334119	82338359	-	2
EFL1	NM_024580	chr15	82422574	82555075	-	20
SAXO2	NM_001348699	chr15	82555159	82577268	+	4
GOLGA6L9	NM_198181	chr15	82722185	82731587	+	9
GOLGA6L10	NM_001164465	chr15	82929674	82939197	-	10
RPS17	NM_001021	chr15	83205501	83209208	-	5
CPEB1	NM_001365242	chr15	83211951	83316114	-	13
AP3B2	NM_001278512	chr15	83328033	83378627	-	27
FSD2	NM_001007122	chr15	83424114	83474821	-	13
WHAMM	NM_001080435	chr15	83478380	83504860	+	10
HOMER2	NM_004839	chr15	83517735	83621472	-	9
RAMAC	NM_031452	chr15	83654962	83659809	+	4
C15orf40	NM_144597	chr15	83663569	83680391	-	4
BTBD1	NM_025238	chr15	83685175	83736004	-	8
TM6SF1	NM_023003	chr15	83776397	83806160	+	10
HDGFL3	NM_016073	chr15	83796505	83876575	-	6
BNC1	NM_001717	chr15	83924636	83953416	-	5
SH3GL3	NM_003027	chr15	84116093	84287495	+	9
ADAMTSL3	NM_207517	chr15	84322875	84708594	+	30
GOLGA6L4	NM_001267536	chr15	84904525	84914110	+	9
ZSCAN2	NM_181877	chr15	85144240	85166947	+	3
WDR73	NM_032856	chr15	85182516	85197514	-	8
NMB	NM_021077	chr15	85198363	85201430	-	3
SEC11A	NM_014300	chr15	85212775	85259370	-	6
ZNF592	NM_014630	chr15	85291823	85349676	+	11
ALPK3	NM_020778	chr15	85360587	85416710	+	14
SLC28A1	NM_004213	chr15	85427893	85489029	+	19
PDE8A	NM_002605	chr15	85525087	85682373	+	22
AKAP13	NM_007200	chr15	85923834	86292586	+	37
KLHL25	NM_022480	chr15	86302557	86338156	-	3
AGBL1	NM_001386094	chr15	86623102	87459387	+	23
NTRK3	NM_001012338	chr15	88402982	88799970	-	20
MRPL46	NM_022163	chr15	89002709	89010619	-	4
MRPS11	NM_022839	chr15	89010939	89024007	+	6
DET1	NM_001144074	chr15	89055711	89089912	-	5
AEN	NM_022767	chr15	89164571	89175512	+	4
ISG20	NM_002201	chr15	89182247	89199714	+	4
ACAN	NM_001369268	chr15	89346667	89418584	+	19
HAPLN3	NM_178232	chr15	89420525	89438775	-	5
MFGE8	NM_005928	chr15	89441914	89456610	-	8
ABHD2	NM_152924	chr15	89631687	89745586	+	11
RLBP1	NM_000326	chr15	89753100	89764810	-	9
FANCI	NM_001113378	chr15	89787210	89860362	+	38
POLG	NM_002693	chr15	89859551	89878055	-	23
RHCG	NM_016321	chr15	90014638	90039814	-	11
TICRR	NM_152259	chr15	90118700	90171254	+	22
KIF7	NM_198525	chr15	90171208	90198698	-	19
PLIN1	NM_002666	chr15	90207598	90222598	-	9
PEX11A	NM_003847	chr15	90224766	90233985	-	3
WDR93	NM_020212	chr15	90234042	90286869	+	17
MESP1	NM_018670	chr15	90293098	90294540	-	2
MESP2	NM_001039958	chr15	90319563	90321985	+	2
ANPEP	NM_001150	chr15	90328126	90358084	-	21
AP3S2	NM_005829	chr15	90373831	90437226	-	6
ARPIN	NM_182616	chr15	90438238	90456184	-	6
ZNF710	NM_198526	chr15	90544556	90625423	+	5
IDH2	NM_002168	chr15	90626277	90645700	-	11
SEMA4B	NM_198925	chr15	90744562	90772911	+	14
CIB1	NM_006384	chr15	90773207	90777173	-	7
GDPGP1	NM_001013657	chr15	90777441	90789043	+	4
NGRN	NM_001033088	chr15	90808904	90815443	+	3
ZNF774	NM_001004309	chr15	90895516	90906079	+	4
IQGAP1	NM_003870	chr15	90931474	91045471	+	38
CRTC3	NM_022769	chr15	91073155	91188577	+	15
BLM	NM_000057	chr15	91260577	91359396	+	22
FURIN	NM_002569	chr15	91411818	91426687	+	16
FES	NM_002005	chr15	91427734	91439006	+	19
MAN2A2	NM_006122	chr15	91446532	91465809	+	23
HDDC3	NM_001286451	chr15	91473198	91475779	-	4
UNC45A	NM_018671	chr15	91478515	91497323	+	20
RCCD1	NM_001017919	chr15	91498114	91506355	+	8
PRC1	NM_003981	chr15	91509270	91537765	-	15
VPS33B	NM_018668	chr15	91541903	91565824	-	23
SV2B	NM_001323032	chr15	91643487	91845795	+	13
SLCO3A1	NM_013272	chr15	92396938	92709133	+	10
ST8SIA2	NM_006011	chr15	92937111	93011958	+	6
FAM174B	NM_207446	chr15	93160678	93199005	-	3
CHD2	NM_001271	chr15	93443554	93571226	+	39
RGMA	NM_020211	chr15	93578501	93632440	-	4
MCTP2	NM_001385001	chr15	94774790	95027181	+	23
NR2F2	NM_021005	chr15	96873929	96883487	+	3
ARRDC4	NM_183376	chr15	98503933	98517063	+	8
IGF1R	NM_000875	chr15	99191768	99507759	+	21
PGPEP1L	NM_001167902	chr15	99511458	99551021	-	5
SYNM	NM_145728	chr15	99645286	99675798	+	5
TTC23	NM_001288615	chr15	99676528	99789786	-	14
LRRC28	NM_144598	chr15	99791686	99930934	+	10
MEF2A	NM_001319206	chr15	100106189	100256693	+	12
LYSMD4	NM_001284417	chr15	100267610	100273642	-	3
ADAMTS17	NM_139057	chr15	100511642	100882180	-	22
CERS3	NM_001378789	chr15	100940600	101069155	-	12
LINS1	NM_001040616	chr15	101107129	101142389	-	7
ASB7	NM_198243	chr15	101142794	101191906	+	6
ALDH1A3	NM_000693	chr15	101420036	101456831	+	13
LRRK1	NM_024652	chr15	101459562	101618462	+	34
CHSY1	NM_014918	chr15	101715932	101792253	-	3
SELENOS	NM_018445	chr15	101812396	101817690	-	6
SNRPA1	NM_003090	chr15	101821715	101835453	-	9
PCSK6	NM_002570	chr15	101844138	102029910	-	23
TM2D3	NM_078474	chr15	102182051	102192584	-	6
TARS3	NM_152334	chr15	102193799	102264676	-	19
OR4F6	NM_001005326	chr15	102343712	102347090	+	2
OR4F15	NM_001001674	chr15	102352405	102360400	+	2
POLR3K	NM_016310	chr16	96407	103608	-	3
SNRNP25	NM_024571	chr16	103828	107669	+	5
RHBDF1	NM_022450	chr16	108058	122629	-	18
MPG	NM_001015052	chr16	128224	135845	+	4
NPRL3	NM_001077350	chr16	135385	188672	-	15
HBZ	NM_005332	chr16	202643	204502	+	3
HBM	NM_001003938	chr16	215977	216763	+	3
HBA2	NM_000517	chr16	222875	223709	+	3
HBA1	NM_000558	chr16	226679	227521	+	3
HBQ1	NM_005331	chr16	230458	231178	+	3
LUC7L	NM_201412	chr16	238989	279448	-	10
FAM234A	NM_032039	chr16	284820	316095	+	13
RGS11	NM_183337	chr16	318306	325944	-	17
ARHGDIG	NM_001176	chr16	330591	333010	+	6
PDIA2	NM_006849	chr16	333164	337215	+	11
AXIN1	NM_003502	chr16	337440	402723	-	11
MRPL28	NM_006428	chr16	416969	420538	-	6
PGAP6	NM_021259	chr16	420788	431978	-	13
NME4	NM_005009	chr16	447199	450754	+	5
DECR2	NM_020664	chr16	451885	462482	+	9
RAB11FIP3	NM_014700	chr16	475649	573011	+	14
CAPN15	NM_005632	chr16	577712	604636	+	14
PRR35	NM_145270	chr16	610394	615529	+	3
NHLRC4	NM_001301159	chr16	617005	619495	+	2
PIGQ	NM_004204	chr16	619968	634109	+	11
RAB40C	NM_021168	chr16	640066	679268	+	6
WFIKKN1	NM_053284	chr16	680985	684117	+	2
METTL26	NM_032366	chr16	684430	686305	-	6
MCRIP2	NM_138418	chr16	691828	698474	+	5
WDR90	NM_145294	chr16	699365	717830	+	41
RHOT2	NM_138769	chr16	718132	724171	+	19
RHBDL1	NM_001278720	chr16	725671	728268	+	8
STUB1	NM_005861	chr16	730410	732801	+	7
JMJD8	NM_001005920	chr16	731670	734334	-	9
WDR24	NM_032259	chr16	734622	740398	-	9
FBXL16	NM_153350	chr16	742500	755801	-	6
METRN	NM_024042	chr16	765118	769655	+	4
ANTKMT	NM_023933	chr16	771146	772590	+	5
CCDC78	NM_001378030	chr16	772582	776443	-	14
HAGHL	NM_032304	chr16	777106	779715	+	8
CIAO3	NM_022493	chr16	779765	790997	-	11
MSLN	NM_005823	chr16	810734	818862	+	18
RPUSD1	NM_058192	chr16	834974	838381	-	6
CHTF18	NM_022092	chr16	838620	848074	+	22
GNG13	NM_016541	chr16	848041	850734	-	3
LMF1	NM_022773	chr16	903634	1020984	-	11
SOX8	NM_014587	chr16	1031770	1036979	+	3
SSTR5	NM_001172560	chr16	1122756	1131454	+	2
C1QTNF8	NM_207419	chr16	1138226	1146244	-	5
CACNA1H	NM_021098	chr16	1203106	1271768	+	35
TPSG1	NM_012467	chr16	1271651	1275268	-	6
TPSB2	NM_024164	chr16	1278336	1280185	-	7
TPSAB1	NM_003294	chr16	1290706	1292555	+	6
TPSD1	NM_012217	chr16	1306070	1309009	+	5
UBE2I	NM_003345	chr16	1359637	1377018	+	7
BAIAP3	NM_001199097	chr16	1383646	1399440	+	34
TSR3	NM_001001410	chr16	1399241	1401879	-	6
GNPTG	NM_032520	chr16	1401932	1414114	+	11
UNKL	NM_001372107	chr16	1413206	1464705	-	15
PERCC1	NM_001365310	chr16	1481079	1484442	+	2
CCDC154	NM_001143980	chr16	1484384	1494490	-	17
CLCN7	NM_001287	chr16	1494936	1525029	-	25
PTX4	NM_001328608	chr16	1535887	1538945	-	3
TELO2	NM_016111	chr16	1543361	1560455	+	21
IFT140	NM_014714	chr16	1560428	1662073	-	31
TMEM204	NM_024600	chr16	1583667	1605569	+	3
CRAMP1	NM_020825	chr16	1662361	1727909	+	21
JPT2	NM_144570	chr16	1728280	1752087	+	5
MAPK8IP3	NM_001318852	chr16	1756196	1820352	+	32
NME3	NM_002513	chr16	1820321	1821710	-	5
MRPS34	NM_023936	chr16	1821896	1823135	-	3
EME2	NM_001257370	chr16	1822811	1831703	+	8
SPSB3	NM_080861	chr16	1826713	1832572	-	7
NUBP2	NM_012225	chr16	1832961	1839187	+	7
IGFALS	NM_004970	chr16	1840414	1843706	-	2
HAGH	NM_005326	chr16	1857630	1876826	-	9
FAHD1	NM_031208	chr16	1877225	1878908	+	1
MEIOB	NM_001163560	chr16	1883987	1922165	-	14
HS3ST6	NM_001009606	chr16	1961476	1968416	-	2
MSRB1	NM_016332	chr16	1988230	1993200	-	4
RPL3L	NM_005061	chr16	1993975	2004690	-	10
NDUFB10	NM_004548	chr16	2009539	2011976	+	4
RPS2	NM_002952	chr16	2012059	2014827	-	7
RNF151	NM_174903	chr16	2016857	2018950	+	4
TBL3	NM_006453	chr16	2022054	2032930	+	22
NOXO1	NM_172167	chr16	2028918	2031470	-	8
GFER	NM_005262	chr16	2034194	2037750	+	3
SYNGR3	NM_004209	chr16	2039971	2044276	+	4
ZNF598	NM_178167	chr16	2047655	2059822	-	14
NPW	NM_001099456	chr16	2069786	2070756	+	2
NTHL1	NM_002528	chr16	2089821	2097835	-	6
TSC2	NM_000548	chr16	2097986	2139492	+	42
PKD1	NM_001009944	chr16	2138709	2185899	-	46
RAB26	NM_014353	chr16	2198626	2204166	+	9
TRAF7	NM_032271	chr16	2205783	2228130	+	21
CASKIN1	NM_020764	chr16	2227181	2246606	-	20
MLST8	NM_022372	chr16	2255455	2259454	+	9
BRICD5	NM_182563	chr16	2259254	2260864	-	6
PGP	NM_001042371	chr16	2261594	2264841	-	2
E4F1	NM_004424	chr16	2273592	2285743	+	14
DNASE1L2	NM_001374	chr16	2286445	2288712	+	7
ECI1	NM_001919	chr16	2289403	2301588	-	7
RNPS1	NM_080594	chr16	2303121	2318127	-	8
ABCA3	NM_001089	chr16	2325882	2390729	-	33
CCNF	NM_001761	chr16	2479448	2508855	+	17
TEDC2	NM_025108	chr16	2510110	2514964	+	10
NTN3	NM_006181	chr16	2521298	2524146	+	6
TBC1D24	NM_001199107	chr16	2525128	2555731	+	8
ATP6V0C	NM_001694	chr16	2563953	2570219	+	3
AMDHD2	NM_001330449	chr16	2570372	2581418	+	11
CEMP1	NM_001048212	chr16	2580036	2581409	-	1
PDPK1	NM_002613	chr16	2588022	2653189	+	14
